site_id,COMID,status,comments
KRWAMIS-2019615,42067375,MATCHED,nan
KRWAMIS-2019620,42067354,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-2019635,42067371,MATCHED,Auto-match area diff: -0.7%
KRWAMIS-2019640,42067366,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-2019653,42067763,MATCHED,nan
KRWAMIS-2019680,42067521,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-2019685,42067714,MATCHED,nan
KRWAMIS-2019695,42067351,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-2020603,42067836,MATCHED,nan
KRWAMIS-2020615,42067279,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-2020650,42067277,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-2020651,42067514,MATCHED,nan
KRWAMIS-2020675,42067274,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-2021630,42067439,MATCHED,nan
KRWAMIS-2021635,,MATCHED,Auto-skipped: NO_CANDIDATES
KRWAMIS-2021640,42067469,MATCHED,nan
KRWAMIS-2021665,42067407,MATCHED,Auto-match area diff: 4.4%
KRWAMIS-2021670,42067452,MATCHED,Auto-match area diff: 6.6%
KRWAMIS-2022610,42067271,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-2022640,42067268,MATCHED,Auto-match area diff: -0.5%
KRWAMIS-2022678,,MATCHED,nan
KRWAMIS-2022680,42067267,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-2022685,,MATCHED,nan
KRWAMIS-2101620,42067950,MATCHED,nan
KRWAMIS-2101625,42067477,MATCHED,Auto-match area diff: 1.9%
KRWAMIS-2101650,42067446,MATCHED,Auto-match area diff: 6.1%
KRWAMIS-2101668,42067335,MATCHED,nan
KRWAMIS-2101675,42067332,MATCHED,Auto-match area diff: -1.7%
KRWAMIS-2101680,42066467,MATCHED,Auto-match area diff: 9.9%
KRWAMIS-2101690,42066464,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-2201611,42067527,MATCHED,Auto-match area diff: 4.7%
KRWAMIS-2201614,42067824,MATCHED,nan
KRWAMIS-2201617,42067567,MATCHED,nan
KRWAMIS-2201630,42067497,MATCHED,Auto-match area diff: 1.2%
KRWAMIS-2201653,42067483,MATCHED,Auto-match area diff: 3.2%
KRWAMIS-2201690,42067893,MATCHED,Auto-match area diff: 9.4%
KRWAMIS-2401616,42067134,MATCHED,nan
KRWAMIS-2401690,42066681,MATCHED,Auto-match area diff: -9.6%
KRWAMIS-2402620,42066728,MATCHED,nan
KRWAMIS-2402630,42066640,MATCHED,Auto-match area diff: 9.4%
KRWAMIS-2403620,42066489,MATCHED,nan
KRWAMIS-3001605,42067862,MATCHED,nan
KRWAMIS-3001610,42067889,MATCHED,nan
KRWAMIS-3001620,42067484,MATCHED,Auto-match area diff: 5.4%
KRWAMIS-3001630,42067912,MATCHED,nan
KRWAMIS-3001633,42067588,MATCHED,Auto-match area diff: 5.7%
KRWAMIS-3001640,42067518,MATCHED,Auto-match area diff: 5.0%
KRWAMIS-3001660,42067929,MATCHED,nan
KRWAMIS-3002650,42067409,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-3002655,42067309,MATCHED,Auto-match area diff: 2.9%
KRWAMIS-3003617,42067952,MATCHED,Auto-match area diff: -0.2%
KRWAMIS-3003620,42067310,MATCHED,Auto-match area diff: -0.9%
KRWAMIS-3003660,42066447,MATCHED,Auto-match area diff: 5.3%
KRWAMIS-3003675,42066491,MATCHED,nan
KRWAMIS-3003680,42066436,MATCHED,Auto-match area diff: 4.0%
KRWAMIS-3003692,42066490,MATCHED,Auto-match area diff: 4.9%
KRWAMIS-3004650,42066427,MATCHED,Auto-match area diff: 1.7%
KRWAMIS-3004690,42066424,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-3005670,42066665,MATCHED,Auto-match area diff: 8.2%
KRWAMIS-3005675,42066701,MATCHED,Auto-match area diff: 1.0%
KRWAMIS-3006680,42066421,MATCHED,Auto-match area diff: -1.1%
KRWAMIS-3006690,42066419,MATCHED,Auto-match area diff: 0.4%
KRWAMIS-3007640,42066944,MATCHED,Auto-match area diff: 1.4%
KRWAMIS-3007645,42066671,MATCHED,Auto-match area diff: 0.7%
KRWAMIS-3007650,42066638,MATCHED,Auto-match area diff: 7.0%
KRWAMIS-3008605,42066855,MATCHED,nan
KRWAMIS-3008630,42066685,MATCHED,nan
KRWAMIS-3008670,42066660,MATCHED,Auto-match area diff: 0.6%
KRWAMIS-3008690,42066404,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-3008695,42066402,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-3009617,42066835,MATCHED,Auto-match area diff: 4.4%
KRWAMIS-3009645,,MATCHED,nan
KRWAMIS-3009650,42066846,MATCHED,Auto-match area diff: 3.6%
KRWAMIS-3009655,42066878,MATCHED,nan
KRWAMIS-3009665,42066672,MATCHED,Auto-match area diff: 6.4%
KRWAMIS-3009670,42066601,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-3009671,42066901,MATCHED,nan
KRWAMIS-3009673,42066621,MATCHED,Auto-match area diff: 3.9%
KRWAMIS-3009675,42066599,MATCHED,nan
KRWAMIS-3010620,42066397,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-3010660,42066395,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-3011615,42066794,MATCHED,nan
KRWAMIS-3011617,42067094,MATCHED,nan
KRWAMIS-3011620,42066759,MATCHED,Auto-match area diff: 3.7%
KRWAMIS-3011623,42067105,MATCHED,Auto-match area diff: 1.9%
KRWAMIS-3011624,42066675,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-3011625,42066765,MATCHED,nan
KRWAMIS-3011630,42066612,MATCHED,Auto-match area diff: -0.3%
KRWAMIS-3011633,42067063,MATCHED,Auto-match area diff: 7.4%
KRWAMIS-3011635,42066575,MATCHED,Auto-match area diff: 2.0%
KRWAMIS-3011647,42067069,MATCHED,nan
KRWAMIS-3011650,42066696,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-3011653,42067036,MATCHED,nan
KRWAMIS-3011660,42066629,MATCHED,Auto-match area diff: 4.7%
KRWAMIS-3011663,42066996,MATCHED,nan
KRWAMIS-3011675,42066998,MATCHED,nan
KRWAMIS-3011687,42066974,MATCHED,Auto-match area diff: 5.8%
KRWAMIS-3011695,42066544,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-3012602,42066393,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-3012605,42066391,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-3012607,42066912,MATCHED,nan
KRWAMIS-3012609,42066962,MATCHED,Auto-match area diff: 3.8%
KRWAMIS-3012625,42066988,MATCHED,nan
KRWAMIS-3012630,42066716,MATCHED,nan
KRWAMIS-3012635,42066662,MATCHED,Auto-match area diff: 9.3%
KRWAMIS-3012650,42066382,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-3012655,42066766,MATCHED,nan
KRWAMIS-3012662,42066379,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-3012665,42066704,MATCHED,Auto-match area diff: 5.3%
KRWAMIS-3012674,42066851,MATCHED,nan
KRWAMIS-3012675,42066376,MATCHED,Auto-match area diff: -0.2%
KRWAMIS-3012680,42066706,MATCHED,nan
KRWAMIS-3012690,42066884,MATCHED,nan
KRWAMIS-3013630,42066769,MATCHED,nan
KRWAMIS-3013665,42066713,MATCHED,Auto-match area diff: 6.4%
KRWAMIS-3013670,42066585,MATCHED,Auto-match area diff: 3.4%
KRWAMIS-3014610,42066370,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-3014650,42066364,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-3014680,42066829,MATCHED,nan
KRWAMIS-3014690,,MATCHED,nan
KRWAMIS-3014695,42066357,MATCHED,nan
KRWAMIS-3101604,42066928,MATCHED,nan
KRWAMIS-3101613,42066738,MATCHED,nan
KRWAMIS-3101615,,MATCHED,nan
KRWAMIS-3101620,,MATCHED,nan
KRWAMIS-3101635,42066965,MATCHED,nan
KRWAMIS-3101640,42066690,MATCHED,Auto-match area diff: 4.9%
KRWAMIS-3101645,42066647,MATCHED,Auto-match area diff: -5.7%
KRWAMIS-3101650,42066641,MATCHED,nan
KRWAMIS-3101655,42067007,MATCHED,nan
KRWAMIS-3101660,42067009,MATCHED,nan
KRWAMIS-3101667,,MATCHED,nan
KRWAMIS-3101670,42067056,MATCHED,nan
KRWAMIS-3101672,,MATCHED,nan
KRWAMIS-3101673,42067065,MATCHED,nan
KRWAMIS-3101675,42066674,MATCHED,Auto-match area diff: 5.4%
KRWAMIS-3101683,42067015,MATCHED,Auto-match area diff: 2.7%
KRWAMIS-3101685,42066643,MATCHED,Auto-match area diff: 1.6%
KRWAMIS-3101690,42066624,MATCHED,nan
KRWAMIS-3201690,42067053,MATCHED,nan
KRWAMIS-3202646,42067043,MATCHED,nan
KRWAMIS-3203620,42066791,MATCHED,nan
KRWAMIS-3203652,42066710,MATCHED,nan
KRWAMIS-3203680,42066830,MATCHED,nan
KRWAMIS-3301623,42067339,MATCHED,nan
KRWAMIS-3301637,,MATCHED,Auto-skipped: NO_CANDIDATES
KRWAMIS-3301645,42067324,MATCHED,Auto-match area diff: -0.8%
KRWAMIS-3301665,42067470,MATCHED,Auto-match area diff: 3.1%
KRWAMIS-3301670,42067323,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-3301675,42067589,MATCHED,nan
KRWAMIS-3301685,42067318,MATCHED,Auto-match area diff: 1.2%
KRWAMIS-3302617,,MATCHED,nan
KRWAMIS-3302630,42067468,MATCHED,Auto-match area diff: 6.6%
KRWAMIS-3302652,42067578,MATCHED,Auto-match area diff: 4.2%
KRWAMIS-3302654,42067853,MATCHED,Auto-match area diff: 6.0%
KRWAMIS-3302657,42067563,MATCHED,nan
KRWAMIS-3302658,42067492,MATCHED,Auto-match area diff: 2.3%
KRWAMIS-3302660,42067525,MATCHED,nan
KRWAMIS-4001605,42067873,MATCHED,nan
KRWAMIS-4001610,42067515,MATCHED,nan
KRWAMIS-4001620,42067432,MATCHED,nan
KRWAMIS-4001660,42067808,MATCHED,nan
KRWAMIS-4002620,42067840,MATCHED,Auto-match area diff: 3.0%
KRWAMIS-4002640,42067385,MATCHED,Auto-match area diff: -0.3%
KRWAMIS-4002690,42067383,MATCHED,Auto-match area diff: -0.4%
KRWAMIS-4003630,42067858,MATCHED,nan
KRWAMIS-4003650,42067504,MATCHED,Auto-match area diff: 1.3%
KRWAMIS-4003690,42067454,MATCHED,Auto-match area diff: 3.9%
KRWAMIS-4004615,42067377,MATCHED,Auto-match area diff: 3.3%
KRWAMIS-4004630,42067776,MATCHED,nan
KRWAMIS-4004640,42067535,MATCHED,Auto-match area diff: 0.8%
KRWAMIS-4004650,42067552,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-4004680,42067723,MATCHED,nan
KRWAMIS-4005670,42067441,MATCHED,nan
KRWAMIS-4005690,42067421,MATCHED,Auto-match area diff: 1.3%
KRWAMIS-4006660,42067363,MATCHED,Auto-match area diff: 0.4%
KRWAMIS-4006667,42067734,MATCHED,Auto-match area diff: 3.9%
KRWAMIS-4006680,42067362,MATCHED,Auto-match area diff: -0.2%
KRWAMIS-4007670,42067466,MATCHED,Auto-match area diff: 5.1%
KRWAMIS-4008655,42067381,MATCHED,nan
KRWAMIS-4008660,42067379,MATCHED,Auto-match area diff: 2.7%
KRWAMIS-4008670,42067376,MATCHED,Auto-match area diff: 2.7%
