site_id,COMID,comments
ABOM-162458010,56121095,
ABOM-170559010,56120821,
ABOM-160566010,56124535,
ABOM-161448010,56122284,
ABOM-161830010,56122320,
ABOM-163964010,56121086,
ABOM-186559010,NONE,
ABOM-159411010,56125556,
ABOM-161777010,56121083,
ABOM-169509010,56120825,
ABOM-169608010,56154437,
ABOM-170227010,56140914,
ABOM-158530010,56101784,
ABOM-159693010,56125233,
ABOM-160042010,56123150,
ABOM-160982010,56123562,
ABOM-161626010,56142312,
ABOM-161696010,56139464,
ABOM-163136010,56121092,
ABOM-163564010,56140442,
ABOM-163734010,NONE,
ABOM-163779010,56124253,
ABOM-158093010,56121283,
ABOM-159892010,56123494,
ABOM-160215010,NONE,
ABOM-160936010,56123144,
ABOM-161538010,56122814,
ABOM-161905010,56139459,
ABOM-186273010,56123799,
ABOM-190554010,56123631,
ABOM-166286010,NONE,
ABOM-167774010,56155679,
ABOM-167988010,56120923,
ABOM-186773010,56121098,
ABOM-191031010,56140327,
ABOM-166788010,56121664,
ABOM-186318010,56123300,
ABOM-186338010,56123194,
ABOM-186643010,56127183,
ABOM-188319010,56127447,
ABOM-190901010,56142907,
ABOM-164397010,56122114,
ABOM-186233010,56121263,
ABOM-166178010,56141684,
ABOM-167038010,56121651,
ABOM-168398010,56120842,
ABOM-168632010,56120849,
ABOM-187388010,56139892,
ABOM-187929010,56120820,
ABOM-166595010,56139800,
ABOM-166958010,NONE,
ABOM-167123010,56141482,
ABOM-168506010,56120853,
ABOM-165671010,56139800,
ABOM-187729010,56120946,
ABOM-190955010,56121588,
ABOM-191051010,56139985,
ABOM-166635010,56128733,
ABOM-166680010,56122760,
ABOM-167211010,NONE,
ABOM-167346010,56122594,
ABOM-168353010,56123959,
ABOM-186858010,56141571,
ABOM-187553010,56140995,
ABOM-191201010,56140123,
ABOM-164153010,56142243,
ABOM-164280010,56141736,
ABOM-164583010,56121083,
ABOM-164901010,56142319,
ABOM-186813010,56124062,
ABOM-190727010,56121120,
ABOM-165734010,56122333,
ABOM-166743010,56139799,
ABOM-166903010,NONE,
ABOM-167880010,NONE,
ABOM-186383010,56124483,
ABOM-187113010,56141941,
ABOM-190978010,56156258,
ABOM-191258010,56120838,
ABOM-95017010,56155923,
ABOM-94675010,56156776,
ABOM-91917010,56156449,
ABOM-102903010,56139789,
ABOM-92884010,56156626,
ABOM-97444010,56139504,
ABOM-105032010,56139340,
ABOM-105239010,56139324,
ABOM-104537010,56142259,
ABOM-104414010,56139333,
ABOM-102984010,56141130,
ABOM-74969010,56155752,
ABOM-85446010,56154566,
ABOM-121206010,56043752,
ABOM-117406010,56105108,
ABOM-123999010,56016636,
ABOM-121521010,56044742,
ABOM-127982010,56009102,
ABOM-83673010,56154540,
ABOM-58113010,56171766,
ABOM-58580010,56171670,
ABOM-58850010,56171639,
ABOM-59837010,56171683,
ABOM-59916010,56171667,
ABOM-58661010,56171645,
ABOM-58949010,56171777,
ABOM-59451010,56171736,
ABOM-60689010,56171879,
ABOM-78217010,56156344,
ABOM-78504010,56155887,
ABOM-78933010,56158957,
ABOM-79380010,56157003,
ABOM-76585010,56156371,
