site_id,COMID,status,comments
BRANA-13650000,62084216,AUTO-MATCH,
BRANA-13710001,62084206,AUTO-MATCH,
BRANA-13740000,62084667,MATCHED,
BRANA-13750000,62084186,AUTO-MATCH,
BRANA-13851000,62084280,AUTO-MATCH,
BRANA-13870000,62068648,AUTO-MATCH,
BRANA-13880000,62068631,AUTO-MATCH,
BRANA-13885000,62070678,AUTO-MATCH,
BRANA-13990000,62037653,AUTO-MATCH,
BRANA-14100000,62037636,AUTO-MATCH,
BRANA-14110000,62009412,AUTO-MATCH,
BRANA-14215000,62002628,AUTO-MATCH,
BRANA-14230000,62009159,AUTO-MATCH,
BRANA-14250000,62009100,AUTO-MATCH,
BRANA-14260000,62009239,MATCHED,
BRANA-14280001,62009213,AUTO-MATCH,
BRANA-14300000,62011622,AUTO-MATCH,
BRANA-14310000,62011072,MATCHED,
BRANA-14325000,62009157,AUTO-MATCH,
BRANA-14330000,62009047,AUTO-MATCH,
BRANA-14350000,62009105,MATCHED,
BRANA-14420000,62008908,MATCHED,
BRANA-14428000,62009643,AUTO-MATCH,
BRANA-14440000,62009972,AUTO-MATCH,
BRANA-14485010,62000507,MATCHED,
BRANA-14488000,62000199,AUTO-MATCH,
BRANA-14495000,62000148,AUTO-MATCH,
BRANA-14500000,62000145,AUTO-MATCH,
BRANA-14515000,62000136,MATCHED,
BRANA-14526000,62000125,MATCHED,
BRANA-14527000,62000119,AUTO-MATCH,
BRANA-14530000,62000446,AUTO-MATCH,
BRANA-14540000,62000322,AUTO-MATCH,
BRANA-14550000,62000284,AUTO-MATCH,
BRANA-14558000,62000104,AUTO-MATCH,
BRANA-14620000,62001914,MATCHED,
BRANA-14650000,62002056,AUTO-MATCH,
BRANA-14680001,62002031,AUTO-MATCH,
BRANA-14690000,62002012,AUTO-MATCH,
BRANA-14710000,62001871,AUTO-MATCH,
BRANA-14740000,62009477,AUTO-MATCH,
BRANA-14750000,62002530,AUTO-MATCH,
BRANA-14840000,62022354,AUTO-MATCH,
BRANA-14845000,62011049,AUTO-MATCH,
BRANA-14850000,62023730,MATCHED,
BRANA-15030000,62037623,AUTO-MATCH,
BRANA-15042000,62041785,AUTO-MATCH,
BRANA-15050000,62140334,AUTO-MATCH,
BRANA-15120001,62139284,AUTO-MATCH,
BRANA-15124009,62129155,AUTO-MATCH,
BRANA-15130000,62126907,MATCHED,
BRANA-15150000,62126800,AUTO-MATCH,
BRANA-15170000,62116324,AUTO-MATCH,
BRANA-15180000,62116767,MATCHED,
BRANA-15190000,62116705,AUTO-MATCH,
BRANA-15200000,62113319,AUTO-MATCH,
BRANA-15248010,62101008,AUTO-MATCH,
BRANA-15250000,62099011,AUTO-MATCH,
BRANA-15320002,62098853,AUTO-MATCH,
BRANA-15324000,62100114,AUTO-MATCH,
BRANA-15326000,62100055,AUTO-MATCH,
BRANA-15400000,62084122,AUTO-MATCH,
BRANA-15430000,62099968,AUTO-MATCH,
BRANA-15431000,62102284,AUTO-MATCH,
BRANA-15432000,62102104,AUTO-MATCH,
BRANA-15490000,62084111,AUTO-MATCH,
BRANA-15490500,62101756,AUTO-MATCH,
BRANA-15550000,62085230,AUTO-MATCH,
BRANA-15552600,62113419,AUTO-MATCH,
BRANA-15558000,62113848,AUTO-MATCH,
BRANA-15558500,62113586,AUTO-MATCH,
BRANA-15558700,62118546,AUTO-MATCH,
BRANA-15559000,62113412,AUTO-MATCH,
BRANA-15560000,62099167,AUTO-MATCH,
BRANA-15565000,62100176,AUTO-MATCH,
BRANA-15575000,62101023,AUTO-MATCH,
BRANA-15580000,62084448,MATCHED,
BRANA-15630000,62068608,AUTO-MATCH,
BRANA-15650000,62086636,AUTO-MATCH,
BRANA-15680000,62087619,AUTO-MATCH,
BRANA-15700000,62052990,AUTO-MATCH,
BRANA-15795000,62085400,MATCHED,
BRANA-15800000,62084342,AUTO-MATCH,
BRANA-15830000,62068896,AUTO-MATCH,
BRANA-15830400,62084338,MATCHED,
BRANA-15910000,62069723,AUTO-MATCH,
BRANA-15930000,62069475,AUTO-MATCH,
BRANA-16010000,62038684,AUTO-MATCH,
BRANA-16030000,62037595,AUTO-MATCH,
BRANA-16100000,62023950,AUTO-MATCH,
BRANA-16205000,62023388,AUTO-MATCH,
BRANA-16368000,62022760,MATCHED,
BRANA-16430000,62023262,MATCHED,
BRANA-16440000,62024138,AUTO-MATCH,
BRANA-16460000,62023260,AUTO-MATCH,
BRANA-16500000,62022480,AUTO-MATCH,
BRANA-16661000,62022471,AUTO-MATCH,
BRANA-17050001,62022237,AUTO-MATCH,
BRANA-17090000,62023391,AUTO-MATCH,
BRANA-17091000,62127998,AUTO-MATCH,
BRANA-17092800,62127924,AUTO-MATCH,
BRANA-17093000,62113642,AUTO-MATCH,
BRANA-17095000,62114429,AUTO-MATCH,
BRANA-17120000,62113658,AUTO-MATCH,
BRANA-17122000,62099645,AUTO-MATCH,
BRANA-17123000,62099331,AUTO-MATCH,
BRANA-17130000,62084545,AUTO-MATCH,
BRANA-17200000,62127400,AUTO-MATCH,
BRANA-17210000,62114305,MATCHED,
BRANA-17280000,62114140,AUTO-MATCH,
BRANA-17300000,62099480,MATCHED,
BRANA-17340000,62099434,AUTO-MATCH,
BRANA-17343000,62100916,MATCHED,
BRANA-17345000,62100335,AUTO-MATCH,
BRANA-17350000,62101807,AUTO-MATCH,
BRANA-17380000,62099415,AUTO-MATCH,
