site_id,COMID,status,comments
KRWAMIS-3013603,42066715,MATCHED_DEDUPE_OK,
KRWAMIS-3013605,42066715,MATCHED_DEDUPE_OK,
KRWAMIS-1101605,42066729,MATCHED_DEDUPE_OK,
KRWAMIS-3009620,42066736,MATCHED_DEDUPE_OK,
KRWAMIS-3009630,42066736,MATCHED_DEDUPE_OK,
KRWAMIS-2006630,42066753,MATCHED,
KRWAMIS-2006675,,REMOVED_DUPLICATE,Removed from COMID 42066753 during deduplication
KRWAMIS-2001613,,NEEDS_REVIEW,Flagged from deduplication of COMID 42066778
KRWAMIS-1018690,42066780,MATCHED_DEDUPE_OK,
KRWAMIS-1018693,42066780,MATCHED_DEDUPE_OK,
KRWAMIS-3004680,42066783,MATCHED_DEDUPE_OK,
KRWAMIS-3004637,42066803,MATCHED_DEDUPE_OK,
KRWAMIS-3004645,42066803,MATCHED_DEDUPE_OK,
KRWAMIS-3009635,42066867,MATCHED_DEDUPE_OK,
KRWAMIS-3009640,42066867,MATCHED_DEDUPE_OK,
KRWAMIS-3007610,42066963,MATCHED_DEDUPE_OK,
KRWAMIS-3011641,42066977,MATCHED_DEDUPE_OK,
KRWAMIS-3011643,42066977,MATCHED_DEDUPE_OK,
KRWAMIS-3011645,42066977,MATCHED_DEDUPE_OK,
KRWAMIS-2014640,,NEEDS_REVIEW,Flagged from deduplication of COMID 42067286
KRWAMIS-3301625,42067327,MATCHED_DEDUPE_OK,
KRWAMIS-2019647,42067361,MATCHED_DEDUPE_OK,
KRWAMIS-4007695,,REMOVED_DUPLICATE,Removed from COMID 42067391 during deduplication
KRWAMIS-4002605,,REMOVED_DUPLICATE,Removed from COMID 42067394 during deduplication
KRWAMIS-2021685,,REMOVED_DUPLICATE,Removed from COMID 42067395 during deduplication
KRWAMIS-2021690,42067395,MATCHED,
KRWAMIS-2021677,,REMOVED_DUPLICATE,Removed from COMID 42067398 during deduplication
KRWAMIS-2013685,,REMOVED_DUPLICATE,Removed from COMID 42067411 during deduplication
KRWAMIS-2013690,42067411,MATCHED,
KRWAMIS-4007625,42067442,MATCHED_DEDUPE_OK,
KRWAMIS-5001640,42067453,MATCHED_DEDUPE_OK,
KRWAMIS-5002650,42067467,MATCHED_DEDUPE_OK,
KRWAMIS-4104620,,REMOVED_DUPLICATE,Removed from COMID 42067505 during deduplication
KRWAMIS-3301652,42067520,MATCHED_DEDUPE_OK,
KRWAMIS-3301654,42067520,MATCHED_DEDUPE_OK,
KRWAMIS-2019610,42067536,MATCHED_DEDUPE_OK,
KRWAMIS-2019625,42067536,MATCHED_DEDUPE_OK,
KRWAMIS-2302640,42067539,MATCHED,
KRWAMIS-2302650,,REMOVED_DUPLICATE,Removed from COMID 42067539 during deduplication
KRWAMIS-3302653,42067543,MATCHED_DEDUPE_OK,
KRWAMIS-3302615,42067546,MATCHED_DEDUPE_OK,
KRWAMIS-3302620,42067546,MATCHED_DEDUPE_OK,
KRWAMIS-4005633,,REMOVED_DUPLICATE,Removed from COMID 42067550 during deduplication
KRWAMIS-4005645,42067550,MATCHED_DEDUPE_OK,
KRWAMIS-5006620,42067551,MATCHED_DEDUPE_OK,
KRWAMIS-5006630,42067551,MATCHED_DEDUPE_OK,
KRWAMIS-5101660,,REMOVED_DUPLICATE,Removed from COMID 42067554 during deduplication
KRWAMIS-2022651,,REMOVED_DUPLICATE,Removed from COMID 42067566 during deduplication
KRWAMIS-2022655,42067566,MATCHED_DEDUPE_OK,
KRWAMIS-2022660,42067566,MATCHED_DEDUPE_OK,
KRWAMIS-3301657,42067593,MATCHED_DEDUPE_OK,
KRWAMIS-3301662,42067593,MATCHED_DEDUPE_OK,
KRWAMIS-5003613,,REMOVED_DUPLICATE,Removed from COMID 42067666 during deduplication
KRWAMIS-5001670,42067691,MATCHED_DEDUPE_OK,
KRWAMIS-5001673,42067691,MATCHED_DEDUPE_OK,
KRWAMIS-5005650,42067710,MATCHED_DEDUPE_OK,
KRWAMIS-5005680,42067710,MATCHED_DEDUPE_OK,
KRWAMIS-4009622,42067759,MATCHED_DEDUPE_OK,
KRWAMIS-2301630,42067780,MATCHED_DEDUPE_OK,
KRWAMIS-2301650,,REMOVED_DUPLICATE,Removed from COMID 42067780 during deduplication
KRWAMIS-2021650,42067830,MATCHED,
KRWAMIS-2021660,,REMOVED_DUPLICATE,Removed from COMID 42067830 during deduplication
KRWAMIS-3302643,42067831,MATCHED_DEDUPE_OK,
KRWAMIS-3301635,42067933,MATCHED_DEDUPE_OK,
KRWAMIS-3301640,42067933,MATCHED_DEDUPE_OK,
